Venue,Rank
Accounting Review,4*
"Accounting, Organizations and Society",4*
Journal of Accounting and Economics,4*
Journal of Accounting Research,4*
American Economic Review,4*
Annals of Statistics,4*
Econometrica,4*
Journal of Political Economy,4*
Quarterly Journal of Economics,4*
Review of Economic Studies,4*
Academy of Management Annals,4*
Academy of Management Journal,4*
Academy of Management Review,4*
Administrative Science Quarterly,4*
Journal of Management,4*
Journal of Finance,4*
Journal of Financial Economics,4*
Review of Financial Studies,4*
Human Resource Management Journal (UK),4*
Journal of International Business Studies,4*
Information Systems Research,4*
Journal of the Association for Information Systems,4*
MIS Quarterly: Management Information Systems,4*
Research Policy,4*
Academy of Management Learning and Education,4*
Journal of Consumer Psychology,4*
Journal of Consumer Research,4*
Journal of Marketing,4*
Journal of Marketing Research,4*
Journal of the Academy of Marketing Science,4*
Marketing Science,4*
Journal of Operations Management,4*
Management Science,4*
Operations Research,4*
Organization Science,4*
Psychological Science,4*
Journal of Applied Psychology,4*
Personnel Psychology,4*
Public Administration Review,4*
American Journal of Sociology,4*
American Sociological Review,4*
Annual Review of Sociology,4*
Strategic Management Journal,4*
Entrepreneurship Theory and Practice,4*
Journal of Business Venturing,4*
Contemporary Accounting Research,4
Review of Accounting Studies,4
Business History,4
Business History Review,4
Economic History Review,4
American Economic Journal: Applied Economics,4
American Economic Journal: Macroeconomics,4
Biometrika,4
Econometric Theory,4
Economic Journal,4
International Economic Review,4
Journal of Business and Economic Statistics,4
Journal of Econometrics,4
Journal of Economic Literature,4
Journal of Economic Perspectives,4
Journal of Economic Theory,4
Journal of International Economics,4
Journal of Labor Economics,4
Journal of Monetary Economics,4
Journal of the American Statistical Association,4
Journal of the European Economic Association,4
Journal of the Royal Statistical Society. Series B: Statistical Methodology,4
Quantitative Economics,4
RAND Journal of Economics,4
Review of Economics and Statistics,4
Theoretical Economics,4
Strategic Entrepreneurship Journal,4
Academy of Management Perspectives,4
British Journal of Management,4
Journal of Management Studies,4
Journal of Corporate Finance,4
Journal of Financial and Quantitative Analysis,4
Journal of Financial Intermediation,4
"Journal of Money, Credit and Banking",4
Review of Finance,4
British Journal of Industrial Relations,4
Human Resource Management (USA),4
Industrial Relations,4
"Work, Employment and Society",4
Journal of World Business,4
European Journal of Information Systems,4
Information Systems Journal,4
Journal of Information Technology,4
Journal of Management Information Systems,4
Journal of Strategic Information Systems,4
Journal of Product Innovation Management,4
International Journal of Research in Marketing,4
Journal of Retailing,4
International Journal of Operations and Production Management,4
Journal of Supply Chain Management,4
Production and Operations Management,4
European Journal of Operational Research,4
IEEE Transactions on Evolutionary Computation,4
Mathematical Programming,4
Human Relations,4
Leadership Quarterly,4
Organization Studies,4
Organizational Research Methods,4
Annual Review of Psychology,4
Behavioral and Brain Sciences,4
Cognition,4
Current Directions in Psychological Science,4
Journal of Experimental Psychology: Applied,4
Journal of Experimental Psychology: General,4
Journal of Experimental Social Psychology,4
Journal of Personality and Social Psychology,4
Personality and Social Psychology Bulletin,4
Psychological Bulletin,4
Psychological Review,4
Journal of Occupational and Organizational Psychology,4
Journal of Occupational Health Psychology,4
Journal of Organizational Behavior,4
Journal of Vocational Behavior,4
Organizational Behavior and Human Decision Processes,4
Work and Stress,4
Governance,4
Journal of Public Administration Research and Theory,4
Public Administration,4
Public Management Review,4
Economic Geography,4
Journal of Economic Geography,4
Regional Studies,4
Annals of Tourism Research,4
Journal of Service Research,4
Journal of Travel Research,4
Tourism Management,4
"Transportation Research, Series B: Methodological",4
Environment and Planning D: Society and Space,4
Risk Analysis,4
Social Science and Medicine,4
Sociology,4
Global Strategy Journal,4
Business Ethics Quarterly,3
Sociology of Health and Illness,3
Socio-Economic Review,4
Long Range Planning,4
Abacus,3
Accounting and Business Research,3
Accounting Forum,3
Accounting Horizons,3
"Accounting, Auditing and Accountability Journal",3
Auditing,3
Behavioral Research in Accounting,3
British Accounting Review,3
British Tax Review,3
Critical Perspectives on Accounting,3
European Accounting Review,3
Financial Accountability and Management,3
Foundations and Trends in Accounting,3
International Journal of Accounting,3
Journal of Accounting and Public Policy,3
Journal of Accounting Literature,3
"Journal of Accounting, Auditing and Finance",3
Journal of Business Finance and Accounting,3
"Journal of International Accounting, Auditing and Taxation",3
Journal of the American Taxation Association,3
Management Accounting Research,3
Enterprise and Society,3
European Review of Economic History,3
Explorations in Economic History,3
Journal of Economic History,3
American Economic Journal: Economic Policy,3
American Economic Journal: Microeconomics,3
American Economic Review: Insights,3
American Journal of Agricultural Economics,3
Annual Review of Economics,3
Brookings Papers on Economic Activity,3
Cambridge Journal of Economics,3
Canadian Journal of Economics,3
Computational Statistics and Data Analysis,3
Ecological Economics,3
Econometric Reviews,3
Econometrics Journal,3
Economic Development and Cultural Change,3
Economic Inquiry,3
Economic Policy,3
Economic Theory,3
Economica,3
Economics Letters,3
Energy Economics,3
Environmental and Resource Economics,3
European Economic Review,3
European Review of Agricultural Economics,3
Experimental Economics,3
Games and Economic Behavior,3
Health Economics (United Kingdom),3
IMF Economic Review,3
International Journal of Industrial Organization,3
International Statistical Review,3
Journal of Agricultural Economics,3
Journal of Applied Econometrics,3
Journal of Comparative Economics,3
Journal of Computational and Graphical Statistics,3
Journal of Development Economics,3
Journal of Economic Behavior and Organization,3
Journal of Economic Dynamics and Control,3
Journal of Economic Growth,3
Journal of Environmental Economics and Management,3
Journal of Health Economics,3
Journal of Human Capital,3
Journal of Human Resources,3
Journal of Industrial Economics,3
Journal of Institutional Economics,3
Journal of Law and Economics,3
"Journal of Law, Economics, and Organization",3
Journal of Legal Studies,3
Journal of Mathematical Economics,3
Journal of Multivariate Analysis,3
Journal of Population Economics,3
Journal of Public Economics,3
Journal of Risk and Uncertainty,3
Journal of the Association of Environmental and Resource Economists,3
Journal of the Royal Statistical Society. Series A: Statistics in Society,3
Journal of the Royal Statistical Society. Series C: Applied Statistics,3
Journal of Time Series Analysis,3
Journal of Urban Economics,3
Labour Economics,3
Land Economics,3
Oxford Bulletin of Economics and Statistics,3
Oxford Economic Papers,3
Public Choice,3
Real Estate Economics,3
Review of Economic Dynamics,3
Review of Income and Wealth,3
Scandinavian Journal of Economics,3
Scandinavian Journal of Statistics,3
Social Choice and Welfare,3
World Bank Economic Review,3
Entrepreneurship and Regional Development,3
Family Business Review,3
International Journal of Entrepreneurial Behaviour and Research,3
International Small Business Journal,3
Journal of Small Business Management,3
Small Business Economics,3
Academy of Management Discoveries,3
Business and Society,3
California Management Review,3
European Management Review,3
Gender and Society,3
"Gender, Work and Organization",3
Harvard Business Review,3
International Journal of Management Reviews,3
Journal of Business Ethics,3
Journal of Business Research,3
Journal of Management Inquiry,3
MIT Sloan Management Review,3
Annual Review of Financial Economics,3
Corporate Governance: An International Review,3
European Financial Management,3
European Journal of Finance,3
Finance and Stochastics,3
Financial Analysts Journal,3
Financial Management,3
"Financial Markets, Institutions and Instruments",3
Financial Review,3
Insurance: Mathematics and Economics,3
International Journal of Central Banking,3
International Journal of Finance and Economics,3
International Review of Financial Analysis,3
Journal of Banking and Finance,3
Journal of Commodity Markets,3
Journal of Empirical Finance,3
Journal of Financial Econometrics,3
Journal of Financial Markets,3
Journal of Financial Research,3
Journal of Financial Services Research,3
Journal of Financial Stability,3
Journal of Futures Markets,3
"Journal of International Financial Markets, Institutions and Money",3
Journal of International Money and Finance,3
Journal of Portfolio Management,3
Journal of Real Estate Finance and Economics,3
Journal of Risk and Insurance,3
Mathematical Finance,3
Quantitative Finance,3
Review of Asset Pricing Studies,3
Review of Corporate Finance Studies,3
Review of Quantitative Finance and Accounting,3
Economic and Industrial Democracy,3
European Journal of Industrial Relations,3
Human Resource Management Review,3
ILR Review,3
Industrial Law Journal,3
Industrial Relations Journal,3
International Journal of Human Resource Management,3
"New Technology, Work and Employment",3
Work and Occupations,3
African Affairs,3
Asia Pacific Journal of Management,3
International Business Review,3
Journal of Common Market Studies,3
Journal of International Management,3
Management and Organization Review,3
Management International Review,3
Decision Support Systems,3
Government Information Quarterly,3
Information and Management,3
Information and Organization,3
Information Society,3
Information Systems Frontiers,3
Information Technology and People,3
International Journal of Electronic Commerce,3
Internet Research,3
Journal of Computer-Mediated Communication,3
Journal of the Association for Information Science and Technology (JASIST),3
Industry and Innovation,3
Journal of Technology Transfer,3
R and D Management,3
Technological Forecasting and Social Change,3
Technovation,3
Management Learning,3
Studies in Higher Education,3
European Journal of Marketing,3
Industrial Marketing Management,3
International Marketing Review,3
Journal of Advertising,3
Journal of Advertising Research,3
Journal of Interactive Marketing,3
Journal of International Marketing,3
Journal of Public Policy and Marketing,3
Marketing Letters,3
Marketing Theory,3
Psychology and Marketing,3
Quantitative Marketing and Economics,3
Computers in Industry,3
IEEE Transactions on Engineering Management,3
International Journal of Production Economics,3
International Journal of Production Research,3
Journal of Business Logistics,3
Journal of Purchasing and Supply Management,3
Manufacturing and Service Operations Management,3
Production Planning and Control,3
Supply Chain Management,3
ACM Transactions on Modeling and Computer Simulation,3
Annals of Operations Research,3
Computational Optimization and Applications,3
Computers and Operations Research,3
Decision Sciences,3
Evolutionary Computation,3
Fuzzy Optimization and Decision Making,3
IEEE Transactions on Cybernetics,3
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",3
INFORMS Journal on Computing,3
International Journal of Forecasting,3
Journal of Heuristics,3
Journal of Optimization Theory and Applications,3
Journal of the Operational Research Society,3
Mathematics of Operations Research,3
Naval Research Logistics,3
Omega,3
OR Spectrum,3
Reliability Engineering and System Safety,3
SIAM Journal on Optimization,3
Transportation Science,3
Group and Organization Management,3
Organization,3
Organization and Environment,3
Organizational Dynamics,3
Research in Organizational Behavior,3
Research in the Sociology of Organizations,3
British Journal of Psychology,3
British Journal of Social Psychology,3
Cognitive Science,3
European Journal of Social Psychology,3
Journal of Behavioral Decision Making,3
Journal of Conflict Resolution,3
Journal of Cross-Cultural Psychology,3
Journal of Experimental Psychology: Learning Memory and Cognition,3
Judgment and Decision Making,3
Personality and Individual Differences,3
Psychological Research,3
Psychology of Women Quarterly,3
Psychometrika,3
Quarterly Journal of Experimental Psychology,3
Social Psychological and Personality Science,3
Accident Analysis and Prevention,3
Applied Ergonomics,3
Applied Psychology,3
Ergonomics,3
European Journal of Work and Organizational Psychology,3
Human Factors,3
Human Performance,3
International Journal of Rehabilitation Research,3
Journal of Business and Psychology,3
Journal of Managerial Psychology,3
Journal of School Psychology,3
Occupational and Environmental Medicine,3
"Scandinavian Journal of Work, Environment and Health",3
American Review of Public Administration,3
Health Services Research,3
International Public Management Journal,3
International Review of Administrative Sciences,3
Journal of European Public Policy,3
Journal of Policy Analysis and Management,3
Milbank Quarterly,3
Policy and Politics,3
Regulation and Governance,3
"Cambridge Journal of Regions, Economy and Society",3
Environment and Planning A,3
European Urban and Regional Studies,3
Global Environmental Change,3
Journal of Regional Science,3
Journal of Rural Studies,3
Papers in Regional Science,3
Regional Science and Urban Economics,3
Urban Studies,3
Energy Journal,3
European Sport Management Quarterly,3
Food Policy,3
International Journal of Contemporary Hospitality Management,3
International Journal of Hospitality Management,3
Journal of Sustainable Tourism,3
Nonprofit and Voluntary Sector Quarterly,3
"Transportation Research, Part A: Policy and Practice",3
"Transportation Research, Part D: Transport and Environment",3
"Transportation Research, Part E: Logistics and Transportation Review",3
Antipode,3
British Journal of Sociology,3
Business Strategy and the Environment,3
Development and Change,3
Economy and Society,3
Electoral Studies,3
Environmental Science & Technology,3
Environmental Science and Policy,3
European Sociological Review,3
Global Networks,3
Industrial and Corporate Change,3
Journal of Development Studies,3
Journal of European Social Policy,3
Journal of Social Policy,3
New Political Economy,3
Politics and Society,3
Progress in Human Geography,3
Public Opinion Quarterly,3
Quarterly Journal of Political Science,3
Review of International Political Economy,3
Social Forces,3
Sociological Methodology,3
Sociological Review,3
"Theory, Culture and Society",3
West European Politics,3
World Development,3
Strategic Organization,3
British Educational Research Journal,2
Kyklos,2
Multinational Business Review,3
Journal of Mathematical Psychology,3
Stress and Health,3
Journal of Cultural Economy,3
Accounting and Finance,2
Accounting and the Public Interest,2
Accounting in Europe,2
Accounting Research Journal,2
"Accounting, Economics and Law: A Convivium",2
Advances in Accounting,2
Advances in Accounting Behavioral Research,2
Advances in Management Accounting,2
Advances in Taxation,2
Asia-Pacific Journal of Accounting and Economics,2
Asian Review of Accounting,2
Australian Accounting Review,2
China Journal of Accounting Research,2
Current Issues in Auditing,2
International Journal of Accounting and Information Management,2
International Journal of Accounting Information Systems,2
"International Journal of Accounting, Auditing and Performance Evaluation",2
International Journal of Auditing,2
International Journal of Disclosure and Governance,2
International Journal of Managerial and Financial Accounting,2
Journal of Accounting and Organizational Change,2
Journal of Accounting in Emerging Economies,2
Journal of Applied Accounting Research,2
Journal of Contemporary Accounting and Economics,2
Journal of International Accounting Research,2
Journal of International Financial Management and Accounting,2
Journal of Management Accounting Research,2
Journal of Management Control,2
"Journal of Public Budgeting, Accounting and Financial Management",2
Journal of Tax Administration,2
Managerial Auditing Journal,2
Qualitative Research in Accounting and Management,2
"Sustainability Accounting, Management and Policy Journal",2
Accounting Historians Journal,2
Accounting History,2
Accounting History Review,2
Australian Economic History Review,2
Cliometrica,2
Entreprises et Histoire,2
Essays in Economic and Business History,2
European Journal of the History of Economic Thought,2
Financial History Review,2
Journal of the History of Economic Thought,2
Journal of Transport History,2
Labor History,2
Management and Organizational History,2
Advances in Econometrics,2
Agricultural Economics (United Kingdom),2
American Law and Economics Review,2
Annals of Applied Statistics,2
Annals of Economics and Finance,2
Annals of Public and Cooperative Economics,2
Annual Review of Resource Economics,2
Applied Economic Perspectives and Policy,2
Applied Economics,2
Australian Journal of Agricultural and Resource Economics,2
B.E. Journal of Economic Analysis and Policy,2
B.E. Journal of Macroeconomics,2
B.E. Journal of Theoretical Economics,2
Bulletin of Economic Research,2
Canadian Journal of Agricultural Economics,2
CESifo Economic Studies,2
China Economic Review,2
Computational Statistics,2
Contemporary Economic Policy,2
Contributions to Political Economy,2
Defence and Peace Economics,2
Econ Journal Watch,2
Economic Modelling,2
Economic Record,2
Economic Systems,2
Economic Systems Research,2
Economic Theory Bulletin,2
Economics and Human Biology,2
Economics and Philosophy,2
Economics and Politics,2
Economics of Education Review,2
Economics of Innovation and New Technology,2
Empirical Economics,2
Environment and Development Economics,2
European Journal of Health Economics,2
European Journal of Political Economy,2
Fiscal Studies,2
GENEVA Risk and Insurance Review,2
German Economic Review,2
History of Political Economy,2
Information Economics and Policy,2
International Journal of Economic Theory,2
International Journal of Game Theory,2
International Journal of Health Economics and Management,2
International Journal of the Economics of Business,2
International Review of Economics and Finance,2
International Review of Environmental and Resource Economics,2
International Review of Law and Economics,2
Journal of African Economies,2
Journal of Agrarian Change,2
Journal of Agricultural and Resource Economics,2
Journal of Applied Probability,2
Journal of Applied Statistics,2
Journal of Behavioral and Experimental Economics,2
Journal of Business Economics,2
Journal of Cultural Economics,2
Journal of Economic Inequality,2
Journal of Economic Issues,2
Journal of Economic Methodology,2
Journal of Economic Studies,2
Journal of Economic Surveys,2
Journal of Economics/ Zeitschrift fur Nationalokonomie,2
Journal of Evolutionary Economics,2
Journal of Family and Economic Issues,2
Journal of Forest Economics,2
Journal of Housing Economics,2
"Journal of Industry, Competition and Trade",2
Journal of Institutional and Theoretical Economics,2
Journal of International Development,2
Journal of Macroeconomics,2
Journal of Nonparametric Statistics,2
Journal of Policy Modeling,2
Journal of Post Keynesian Economics,2
Journal of Productivity Analysis,2
Journal of Public Economic Theory,2
Journal of Regulatory Economics,2
Journal of Statistical Planning and Inference,2
Journal of the Economics of Ageing,2
Journal of the Japanese and International Economies,2
Journal of Time Series Econometrics,2
Macroeconomic Dynamics,2
Managerial and Decision Economics,2
Manchester School,2
Mathematical Social Sciences,2
National Tax Journal,2
Networks and Spatial Economics,2
North American Journal of Economics and Finance,2
Open Economies Review,2
Oxford Development Studies,2
Oxford Review of Economic Policy,2
Pacific Economic Review,2
PharmacoEconomics,2
Quarterly Review of Economics and Finance,2
Rationality and Society,2
Resources Policy,2
Review of Behavioral Economics,2
Review of Development Economics,2
Review of Economic Design,2
Review of Economics of the Household,2
Review of Environmental Economics and Policy,2
Review of Industrial Organization,2
Review of International Economics,2
Review of Law and Economics,2
Review of Network Economics,2
Review of Political Economy,2
Review of World Economics,2
Scottish Journal of Political Economy,2
Southern Economic Journal,2
Spatial Economic Analysis,2
Stata Journal,2
Statistics and Probability Letters,2
Studies in Nonlinear Dynamics and Econometrics,2
World Bank Research Observer,2
World Economy,2
Entrepreneurship Research Journal,2
International Journal of Entrepreneurship and Innovation,2
International Journal of Entrepreneurship and Small Business,2
International Review of Entrepreneurship,2
Journal of Business Venturing Insights,2
Journal of Family Business Strategy,2
Journal of Small Business and Enterprise Development,2
Journal of Social Entrepreneurship,2
Venture Capital,2
Africa Journal of Management,2
Australian Journal of Management,2
BRQ Business Research Quarterly,2
Business and Politics,2
Business Horizons,2
Canadian Journal of Administrative Sciences,2
Competition and Change,2
"Equality, Diversity and Inclusion: an International Journal",2
Eurasian Business Review,2
European Business Review,2
European Journal of Women's Studies,2
European Management Journal,2
Feminist Economics,2
Feminist Review,2
Global Journal of Flexible Systems Management,2
IIM Kozhikode Society & Management Review,2
International Journal of Business Governance and Ethics,2
International Journal of Conflict Management,2
International Journal of Gender and Entrepreneurship,2
International Studies of Management and Organization,2
Journal of Intellectual Capital,2
Journal of Management and Organization,2
Management Decision,2
Management Revue,2
Review of Managerial Science,2
Scandinavian Journal of Management,2
Sex Roles,2
Signs,2
Annals of Finance,2
Applied Mathematical Finance,2
Asia-Pacific Financial Markets,2
ASTIN Bulletin,2
Corporate Governance (Bingley),2
Emerging Markets Finance and Trade,2
Finance Research Letters,2
Financial Markets and Portfolio Management,2
Foundations and Trends in Finance,2
Geneva Papers on Risk and Insurance: Issues and Practice,2
Global Finance Journal,2
"International Journal of Banking, Accounting and Finance",2
International Journal of Managerial Finance,2
International Journal of Theoretical and Applied Finance,2
International Tax and Public Finance,2
Journal of Alternative Investments,2
Journal of Asset Management,2
Journal of Banking Regulation,2
Journal of Behavioral Finance,2
Journal of Derivatives,2
Journal of Economics and Business,2
Journal of Emerging Market Finance,2
Journal of Fixed Income,2
Journal of Multinational Financial Management,2
Journal of Operational Risk,2
Journal of Pension Economics and Finance,2
Journal of Risk,2
North American Actuarial Journal,2
Pacific Basin Finance Journal,2
Research in International Business and Finance,2
Review of Accounting and Finance,2
Review of Derivatives Research,2
Review of Development Finance,2
SIAM Journal on Financial Mathematics,2
Asia Pacific Journal of Human Resources,2
Career Development International,2
Career Development Quarterly,2
Employee Relations,2
Human Resource Development International,2
Human Resource Development Quarterly,2
Human Resource Development Review,2
Industrielle Beziehungen,2
International Journal of Manpower,2
International Journal of Training and Development,2
International Labour Review,2
Journal of Global Mobility,2
Journal of Industrial Relations,2
Journal of Labor Research,2
Journal of Organizational Effectiveness,2
Labor Studies Journal,2
Labour and Industry: a journal of social and economic relations of work,2
Personnel Review,2
Relations Industrielles/Industrial Relations,2
Sociologie du Travail,2
Transfer,2
"Work, Aging and Retirement",2
Asia Pacific Business Review,2
Asian Business and Management,2
China Quarterly,2
Critical Perspectives on International Business,2
Cross Cultural and Strategic Management,2
Emerging Markets Review,2
Eurasian Geography and Economics,2
Europe-Asia Studies,2
European Journal of International Management,2
Journal of Business Economics and Management,2
Journal of Latin American Studies,2
Journal of Modern African Studies,2
Journal of World Trade,2
Review of African Political Economy,2
Third World Quarterly,2
Thunderbird International Business Review,2
AIS Transactions on Human-Computer Interaction,2
Annual Review of Information Science and Technology,2
Behaviour and Information Technology,2
British Journal of Educational Technology,2
Communications of the ACM,2
Communications of the Association for Information Systems,2
Computer Journal,2
Computer Supported Cooperative Work,2
Computers in Human Behavior,2
Electronic Commerce Research,2
Electronic Commerce Research and Applications,2
Enterprise Information Systems,2
Expert Systems,2
Health Information and Libraries Journal,2
Health Systems,2
Industrial Management and Data Systems,2
Information Processing and Management,2
Information Systems and e-Business Management,2
Information Systems Management,2
Information Technology for Development,2
Interacting with Computers,2
International Journal of Human Computer Studies,2
International Journal of Information Management,2
Journal of Computer Information Systems,2
Journal of Documentation,2
Journal of Enterprise Information Management,2
Journal of Global Information Management,2
Journal of Global Information Technology Management,2
Journal of Information Science,2
Journal of Systems and Software,2
MIS Quarterly Executive,2
Pacific Asia Journal of the Association for Information Systems,2
Requirements Engineering,2
Scandinavian Journal of Information Systems,2
The Data Base for Advances in Information Systems,2
Creativity and Innovation Management,2
Innovation: Organization & Management,2
International Journal of Innovation Management,2
Journal of Engineering and Technology Management - JET-M,2
Journal of High Technology Management Research,2
Prometheus,2
Research Technology Management,2
Science and Technology Studies,2
Science Technology and Human Values,2
Scientometrics,2
Social Studies of Science,2
Structural Change and Economic Dynamics,2
Accounting Education,2
Advances in Developing Human Resources,2
British Journal of Guidance and Counselling,2
Higher Education,2
Higher Education Policy,2
Higher Education Quarterly,2
INFORMS Transactions on Education,2
Innovations in Education and Teaching International,2
Issues in Accounting Education,2
Journal of Accounting Education,2
Journal of Education and Work,2
Journal of Education Policy,2
Journal of Higher Education,2
Journal of International Business Education,2
Journal of Management Education,2
Journal of Marketing Education,2
Teaching in Higher Education,2
Academy of Marketing Science Review,2
Advances in Consumer Research,2
Consumption Markets and Culture,2
Electronic Markets,2
International Journal of Advertising,2
International Journal of Consumer Studies,2
International Journal of Market Research,2
International Journal of Retail and Distribution Management,2
Journal of Brand Management,2
Journal of Business and Industrial Marketing,2
Journal of Consumer Behaviour,2
Journal of Macromarketing,2
Journal of Marketing Management,2
Journal of Personal Selling and Sales Management,2
Journal of Retailing and Consumer Services,2
Journal of Services Marketing,2
Journal of Strategic Marketing,2
Qualitative Market Research,2
Business Process Management Journal,2
Computers and Industrial Engineering,2
International Journal of Computer Integrated Manufacturing,2
International Journal of Physical Distribution and Logistics Management,2
International Journal of Project Management,2
International Journal of Quality and Reliability Management,2
International Journal of Technology Management,2
Journal of Construction Engineering and Management - ASCE,2
Total Quality Management and Business Excellence,2
4OR,2
Discrete Applied Mathematics,2
Discrete Optimization,2
Engineering Optimization,2
European Journal of Industrial Engineering,2
Group Decision and Negotiation,2
IMA Journal of Management Mathematics,2
Journal of Combinatorial Optimization,2
Journal of Forecasting,2
Journal of Global Optimization,2
Operations Research Letters,2
Queueing Systems,2
Simulation Modelling Practice and Theory,2
Socio-Economic Planning Sciences,2
System Dynamics Review,2
Systems Research and Behavioral Science,2
Theory and Decision,2
Culture and Organization,2
Group Processes and Intergroup Relations,2
Journal of Knowledge Management,2
Journal of Organizational Behavior Management,2
Journal of Organizational Change Management,2
Journal of Professions and Organization,2
Leadership,2
Management Communication Quarterly,2
Negotiation Journal,2
Symbolic Interaction,2
Systemic Practice and Action Research,2
The Journal of Applied Behavioral Science,2
Applied Cognitive Psychology,2
Cognitive Research: Principles and Implications,2
Creativity Research Journal,2
Decision,2
Journal of Cognitive Engineering and Decision Making,2
Journal of Community Psychology,2
Journal of Economic Psychology,2
Journal of Language and Social Psychology,2
Journal of Nonverbal Behavior,2
Scandinavian Journal of Psychology,2
Zeitschrift fur Psychologie / Journal of Psychology,2
Applied Psychological Measurement,2
Applied Psychology: Health and Well-Being,2
"Cognition, Technology and Work",2
Group Dynamics,2
International Archives of Occupational and Environmental Health,2
International Journal of Industrial Ergonomics,2
