Venue,Rank
International Journal of Selection and Assessment,2
International Journal of Stress Management,2
Journal of Applied Social Psychology,2
Journal of Career Assessment,2
Journal of Occupational and Environmental Medicine,2
Journal of Occupational Rehabilitation,2
Journal of Personnel Psychology,2
Journal of Safety Research,2
Organizational Psychology Review,2
Rehabilitation Psychology,2
Small Group Research,2
Administration and Society,2
Australian Journal of Public Administration,2
Educational Management Administration and Leadership,2
Evidence and Policy,2
Health Care Management Review,2
Health Care Management Science,2
Health Policy,2
International Journal of Emergency Services,2
International Journal of Public Administration,2
Journal of Health Services Research and Policy,2
Local Government Studies,2
Perspectives on Public Management & Governance,2
Policing,2
Policy Studies,2
Public Administration and Development,2
Public Integrity,2
Public Money and Management,2
Public Organization Review,2
Public Performance & Management Review,2
Public Personnel Management,2
Public Policy and Administration,2
Review of Public Personnel Administration,2
Social Policy and Administration,2
"Transforming Government: People, Process and Policy",2
Annals of Regional Science,2
Cities,2
Construction Management and Economics,2
European Planning Studies,2
Growth and Change,2
International Journal of Urban and Regional Research,2
Journal of Place Management and Development,2
Local Economy,2
Town Planning Review,2
Annals of Leisure Research,2
Building Research and Information,2
Cornell Hospitality Quarterly,2
Current Issues in Tourism,2
Energy Policy,2
Environmental Management,2
Event Management,2
Hospitality and Society,2
International Journal of Strategic Property Management,2
International Journal of Tourism Research,2
Journal of Hospitality and Tourism Research,2
Journal of Management in Engineering - ASCE,2
Journal of Service Management,2
Journal of Sport Management,2
Journal of Sports Economics,2
Journal of Transport Geography,2
Journal of Travel and Tourism Marketing,2
Leisure Sciences,2
Leisure Studies,2
Marine Policy,2
Maritime Policy and Management,2
Museum Management and Curatorship,2
Scandinavian Journal of Hospitality and Tourism,2
Service Industries Journal,2
Sport Management Review,2
Tourism Analysis,2
Tourism Economics,2
Tourism Geographies,2
Tourism Management Perspectives,2
Tourism Planning and Development,2
Tourism Recreation Research,2
Transport Policy,2
Transport Reviews,2
Transportation,2
Voluntas,2
American Journal of Economics and Sociology,2
Capital and Class,2
Critical Social Policy,2
Current Sociology,2
Evaluation,2
Futures,2
Geoforum,2
Human Organization,2
Information Communication and Society,2
International Journal of Development Issues,2
International Journal of Green Energy,2
International Sociology,2
Journal of Business Law,2
Journal of Consumer Policy,2
Journal of Industrial Ecology,2
Journal of Law and Society,2
Journal of Risk Research,2
Parliamentary Affairs,2
Political Quarterly,2
Political Studies,2
Research Evaluation,2
Review of Social Economy,2
Science and Public Policy,2
Science and Society,2
"Science, Technology and Society",2
Social Networks,2
Society and Business Review,2
Time and Society,2
Advances in Strategic Management,2
Journal of Economics and Management Strategy,2
Journal of Organization Design,2
Strategic Change,2
Technology Analysis and Strategic Management,2
Journal of Business-to-Business Marketing,1
Journal of Consumer Affairs,1
Journal of Marketing Theory and Practice,1
Journal of Scheduling,1
Disability and Rehabilitation,1
Journal of Cleaner Production,1
Journal of Transport Economics and Policy,1
Tourist Studies,1
EuroMed Journal of Business,2
Journal of Simulation,2
Journal of Hospitality and Tourism Management,2
Journal of Ethnic and Migration Studies,2
"Accounting, Finance & Governance Review",1
Advances in Environmental Accounting and Management,1
Advances in Public Interest Accounting,1
ATA Journal of Legal Tax Research,1
"Australasian Accounting, Business and Finance Journal",1
China Journal of Accounting Studies,1
Comptabilite Controle Audit,1
EDPACS,1
International Journal of Critical Accounting,1
Journal of Accounting and Management Information Systems,1
Journal of Accounting and Taxation,1
Journal of Forensic and Investigative Accounting (previously Journal of Forensic Accounting),1
Journal of Governmental & Non-Profit Accounting,1
Journal of Information Systems,1
Journal of Islamic Accounting and Business Research,1
Management Accounting Frontiers,1
Meditari Accountancy Research,1
Pacific Accounting Review,1
Research on Professional Responsibility and Ethics in Accounting,1
Revista de Contabilidad-Spanish Accounting Review,1
Revista Espanola de Financiacion y Contabilidad,1
Social and Environmental Accountability Journal,1
South African Journal of Accounting Research,1
World Tax Journal,1
Historical Studies in Industrial Relations,1
Irish Economic and Social History,1
Journal of European Economic History,1
Journal of Historical Research in Marketing,1
Journal of Management History,1
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,1
Scandinavian Economic History Review,1
Advances in Austrian Economics,1
Agrekon,1
Agricultural and Resource Economics Review,1
Annals of Economics and Statistics,1
Applied Economics Letters,1
Asian Economic Journal,1
Asian Economic Papers,1
Atlantic Economic Journal,1
Australian Economic Papers,1
Australian Economic Review,1
Baltic Journal of Economics,1
Behavioural Public Policy,1
Bulletin of Indonesian Economic Studies,1
Business Economics,1
China Agricultural Economic Review,1
China and World Economy,1
China Economic Journal,1
Cogent Economics and Finance,1
Comparative Economic Studies,1
Computational Economics,1
Constitutional Political Economy,1
De Economist,1
Decisions in Economics and Finance,1
Dynamic Games and Applications,1
Eastern Economic Journal,1
Eastern European Economics,1
Econometrics,1
Economic Analysis and Policy,1
Economic and Social Review,1
Economic Issues,1
Economic Notes,1
Economics and Business Letters,1
Economics and Sociology,1
Economics of Energy and Environmental Policy,1
Economics of Governance,1
Economics of Transportation,1
Economies,1
Economists' Voice,1
Education Economics,1
Empirica,1
Environmental Economics and Policy Studies,1
Eurasian Economic Review,1
European Journal of Economics and Economic Policies: Intervention,1
European Journal of Law and Economics,1
FinanzArchiv,1
Forum for Health Economics and Policy,1
Foundations and Trends in Econometrics,1
Games,1
Global Economic Review,1
Global Economy Journal,1
Interdisciplinary Journal of Economics and Business Law,1
Intereconomics,1
International Advances in Economic Research,1
International Economic Journal,1
International Game Theory Review,1
International Journal of Computational Economics and Econometrics,1
International Journal of Ecological Economics and Statistics,1
International Journal of Happiness and Development,1
International Journal of Political Economy,1
International Journal of Social Economics,1
International Review of Applied Economics,1
Jahrbucher fur Nationalokonomie und Statistik,1
Japan and the World Economy,1
Japanese Economic Review,1
Journal for Labour Market Research,1
Journal of Agricultural & Applied Economics,1
Journal of Agricultural and Food Industrial Organization,1
Journal of Air Transport Management,1
Journal of Applied Economics,1
Journal of Asian Economics,1
Journal of Bioeconomics,1
Journal of Choice Modelling,1
Journal of Developing Areas,1
Journal of Econometric Methods,1
Journal of Economic Education,1
Journal of Economic Integration,1
Journal of Economic Interaction and Coordination,1
Journal of Economic Policy Reform,1
Journal of Gambling Business and Economics,1
Journal of Income Distribution,1
Journal of Industrial and Business Economics,1
Journal of Interdisciplinary Economics,1
Journal of International Trade and Economic Development,1
Journal of Mechanism and Institution Design,1
Journal of Media Economics,1
Journal of the Asia Pacific Economy,1
Journal of the Economic Science Association,1
Man and the Economy,1
Metroeconomica,1
Mineral Economics,1
National Institute Economic Review,1
Natural Resources Journal,1
NETNOMICS: Economic Research and Electronic Networking,1
New Zealand Economic Papers,1
"Peace Economics, Peace Science and Public Policy",1
Portuguese Economic Journal,1
Post-Communist Economies,1
Quantitative and Qualitative Analysis in Social Sciences,1
Quarterly Journal of Austrian Economics,1
Research in Economics,1
Research in Transportation Economics,1
Review of Austrian Economics,1
Review of Economic Analysis,1
Review of Financial Economics,1
Review of Radical Political Economics,1
SERIEs,1
South African Journal of Economics,1
South Asia Economic Journal,1
Statistical Analysis and Data Mining,1
Strategic Behavior and the Environment,1
Studies in Agricultural Economics,1
Studies in Economics and Finance,1
Swiss Journal of Economics and Statistics,1
The Forum for Social Economics,1
Tijdschrift Voor Economische en Sociale Geografie,1
International Entrepreneurship and Management Journal,1
International Journal of Entrepreneurial Venturing,1
International Journal of Management and Enterprise Development,1
Journal of Enterprising Communities,1
Journal of Enterprising Culture,1
Journal of Entrepreneurship,1
Journal of Entrepreneurship and Public Policy,1
Journal of Entrepreneurship in Emerging Economies,1
Journal of International Entrepreneurship,1
Journal of Small Business and Entrepreneurship,1
Small Enterprise Research,1
Social Enterprise Journal,1
"World Review of Entrepreneurship, Management and Sustainable Development",1
Acta Commercii,1
American Journal of Business,1
Annals of Work Exposures and Health,1
Asian Journal of Management Cases,1
Business & Professional Ethics Journal,1
Business and Human Rights Journal,1
Business Perspectives and Research,1
CASE Journal,1
Cogent Business and Management,1
Economic and Business Review,1
Emerald Emerging Markets Case Studies,1
FIIB Business Review,1
Gender in Management: An International Journal,1
Global Business Review,1
International Journal of Arts Management,1
International Journal of Business Competition and Growth,1
International Journal of Business Environment,1
International Journal of Business Excellence,1
International Journal of Contemporary Management,1
International Journal of Globalisation and Small Business,1
International Journal of Knowledge-Based Development,1
International Journal of Management and Decision Making,1
International Journal of Management Concepts and Philosophy,1
International Journal of Management Practice,1
"International Journal of Management, Economics and Social Sciences",1
International Journal of Managing Projects in Business,1
Iranian Journal of Management Studies,1
Irish Journal of Management,1
Journal for Global Business Advancement,1
Journal of Contemporary Administration,1
Journal of Creating Value,1
Journal of Family Business Management,1
Journal of General Management,1
Journal of Global Responsibility,1
Journal of Human Values,1
Journal of Indian Business Research,1
Journal of Islamic Business & Management,1
Journal of Management and Governance,1
Journal of Management Sciences,1
"Journal of Management, Spirituality and Religion",1
Journal of Revenue and Pricing Management,1
Management,1
Management Research Review,1
Measuring Business Excellence,1
Metamorphosis- A Journal of Management Research,1
Organization Management Journal,1
Policy and Practice in Health and Safety,1
Problems and Perspectives in Management,1
PSU Research Review: An International Interdisciplinary Journal,1
RAE Revista de Administracao de Empresas,1
RAUSP Management Journal,1
Safety and Reliability,1
Social Responsibility Journal,1
South Asian Journal of Business and Management Cases,1
South Asian Journal of Business Studies,1
Symphonya. Emerging Issues in Management,1
Vikalpa,1
Vision,1
African Finance Journal,1
Agricultural Finance Review,1
Annals of Actuarial Science,1
Bancaria The Journal of the Italian Banking Association,1
British Actuarial Journal,1
China Finance Review International,1
Critical Finance Review,1
Finance,1
Financial Services Review,1
"Intelligent Systems in Accounting, Finance and Management",1
International Journal of Islamic and Middle Eastern Finance and Management,1
Investment Analysts Journal,1
Journal of Applied Corporate Finance,1
Journal of Behavioral and Experimental Finance,1
Journal of Computational Finance,1
Journal of Credit Risk,1
Journal of Energy Markets,1
Journal of Financial Economic Policy,1
"Journal of Financial Management, Markets and Institutions",1
Journal of Financial Market Infrastructures,1
Journal of Financial Regulation and Compliance,1
Journal of Financial Reporting and Accounting,1
Journal of Investment Strategies,1
Journal of Prediction Markets,1
Journal of Property Investment and Finance,1
Journal of Risk Finance,1
Journal of Risk Model Validation,1
Journal of Sustainable Finance and Investment,1
Managerial Finance,1
Multinational Finance Journal,1
Qualitative Research in Financial Markets,1
Quarterly Journal of Finance,1
Review of Behavioral Finance,1
Scandinavian Actuarial Journal,1
Advances in Industrial and Labor Relations,1
Australian Journal of Labour Economics,1
Economic and Labour Relations Review,1
Evidence-based HRM,1
Indian Journal of Labour Economics,1
Industrial and Commercial Training,1
International Journal of Comparative Labour Law and Industrial Relations,1
International Journal of Employment Studies,1
International Journal of Learning and Intellectual Capital,1
Journal of Work-Applied Management,1
Labour,1
Management and Labour Studies,1
Research in Personnel and Human Resources Management,1
SA Journal of Human Resource Management,1
South Asian Journal of Human Resources Management,1
Team Performance Management,1
"Work Organisation, Labour and Globalisation",1
Academia Revista Latinoamericana de Administracion,1
Asia-Pacific Journal of Business Administration,1
Baltic Journal of Management,1
Chinese Management Studies,1
Competitiveness Review,1
Foreign Trade Review,1
Global Business and Economics Review,1
International Journal of Business and Emerging Markets,1
International Journal of Cross Cultural Management,1
International Journal of Emerging Markets,1
International Journal of Export Marketing,1
International Journal of Indian Culture and Business Management,1
International Trade Journal,1
Journal for International Business and Entrepreneurship Development,1
Journal of African Business,1
Journal of Asia Business Studies,1
Journal of Asia-Pacific Business,1
Journal of Chinese Economic and Business Studies,1
Journal of East European Management Studies,1
Journal of East-West Business,1
Journal of Transnational Management,1
Latin American Business Review,1
Management Research,1
Review of International Business and Strategy,1
South African Journal of Business Management,1
Transnational Corporations Review,1
Aslib Journal of Information Management,1
Australasian Journal of Information Systems,1
e-Service Journal,1
Ethics and Information Technology,1
Expert Systems with Applications,1
Human-Computer Interaction,1
Information and Computer Security,1
Information Research,1
Information Resources Management Journal,1
Information Technology and Management,1
International Journal of Business and Systems Research,1
International Journal of Business Information Systems,1
International Journal of Business Process Integration and Management,1
International Journal of Data Analysis Techniques and Strategies,1
"International Journal of Digital Strategy, Governance, and Business Transformation",1
International Journal of e-Business Research,1
International Journal of Enterprise Information Systems,1
International Journal of Information Systems and Change Management,1
International Journal of Information Systems in the Service Sector,1
International Journal of Information Technology and Management,1
International Journal of Knowledge Management,1
International Journal of Web Information Systems,1
Journal of Database Management,1
Journal of Decision Systems,1
Journal of Electronic Commerce in Organizations,1
Journal of Electronic Commerce Research,1
Journal of Emerging Technologies in Accounting,1
Journal of Information Systems Education,1
Journal of Information Technology Management,1
Journal of Information Technology Teaching Cases,1
Journal of Informetrics,1
Journal of Internet Commerce,1
Journal of Organizational and End User Computing,1
Journal of Organizational Computing and Electronic Commerce,1
Journal of Systems and Information Technology,1
Journal of Theoretical and Applied Electronic Commerce Research,1
Knowledge Management Research and Practice,1
Online Information Review,1
Online Journal of Applied Knowledge Management,1
South African Journal of Information Management,1
Asian Journal of Technology Innovation,1
European Journal of Innovation Management,1
International Journal of Business Innovation and Research,1
International Journal of Entrepreneurship and Innovation Management,1
International Journal of Foresight and Innovation Policy,1
International Journal of Innovation and Sustainable Development,1
International Journal of Innovation and Technology Management,1
International Journal of Innovation Science,1
International Journal of Product Development,1
International Journal of Technology and Globalisation,1
International Journal of Technology Intelligence and Planning,1
International Journal of Technology Management and Sustainable Development,1
International Journal of Technology Transfer and Commercialisation,1
"International Journal of Technology, Policy and Management",1
International Journal of the Digital Human,1
Journal of Innovation and Knowledge,1
Journal of Innovation Economics & Management,1
Journal of Science and Technology Policy Management,1
Journal of the Knowledge Economy,1
Technology Innovation Management Review,1
Action Learning: Research and Practice,1
Active Learning in Higher Education,1
Advances in Accounting Education: Teaching and Curriculum Innovations,1
Coaching,1
Decision Sciences Journal of Innovative Education,1
Education and Training,1
Electronic Journal of e-Learning,1
European Journal of Training and Development,1
"Higher Education, Skills and Work-based Learning",1
Industry and Higher Education,1
International Journal of Evidence Based Coaching and Mentoring,1
International Journal of Management Development,1
International Journal of Management Education,1
International Journal of Teaching and Case Studies,1
Journal for Advancement of Marketing Education,1
Journal of Advertising Education,1
Journal of Business Ethics Education,1
Journal of Educational Administration,1
Journal of Further and Higher Education,1
Journal of Higher Education Policy and Management,1
Journal of International Education in Business,1
Journal of Management Development,1
Journal of Organizational Behavior Education,1
Journal of Vocational Education and Training,1
Journal of Workplace Learning,1
Marketing Education Review,1
Operations Management Education Review,1
Quality Assurance in Education,1
Tertiary Education and Management,1
Asia Pacific Journal of Marketing and Logistics,1
Australasian Marketing Journal,1
Corporate Communications,1
Corporate Reputation Review,1
Health Marketing Quarterly,1
International Journal of Bank Marketing,1
International Journal of Internet Marketing and Advertising,1
International Journal of Technology Marketing,1
"International Review of Retail, Distribution and Consumer Research",1
International Review on Public and Non-Profit Marketing,1
Journal of Communication Management,1
Journal of Consumer Marketing,1
Journal of Current Issues and Research in Advertising,1
Journal of Fashion Marketing and Management,1
Journal of Financial Services Marketing,1
Journal of Global Fashion Marketing,1
Journal of Global Marketing,1
Journal of Interactive Advertising,1
Journal of Marketing Analytics,1
Journal of Marketing Communications,1
Journal of Marketing for Higher Education,1
Journal of Non-Profit and Public Sector Marketing,1
Journal of Product and Brand Management,1
Journal of Relationship Marketing,1
Journal of Research in Interactive Marketing,1
Journal of Social Marketing,1
Marketing Intelligence and Planning,1
Recherche et Applications en Marketing,1
Review of Marketing Science,1
Services Marketing Quarterly,1
Social Marketing Quarterly,1
Young Consumers,1
Benchmarking,1
Concurrent Engineering Research and Applications,1
Flexible Services and Manufacturing Journal,1
"Foundations and Trends in Technology, Information and Operations Management",1
International Journal of Agile Systems and Management,1
International Journal of Business Performance and Supply Chain Modelling,1
International Journal of Business Performance Management,1
International Journal of Construction Management,1
International Journal of Engineering Business Management,1
International Journal of Enterprise Network Management,1
International Journal of Industrial and Systems Engineering,1
International Journal of Industrial Engineering and Management,1
International Journal of Information Systems and Supply Chain Management,1
International Journal of Integrated Supply Management,1
International Journal of Internet Manufacturing and Services,1
International Journal of Lean Six Sigma,1
International Journal of Logistics Management,1
International Journal of Logistics Research and Applications,1
International Journal of Logistics Systems and Management,1
International Journal of Procurement Management,1
International Journal of Productivity and Performance Management,1
International Journal of Productivity and Quality Management,1
International Journal of Quality and Service Sciences,1
International Journal of Services and Operations Management,1
International Journal of Services Operations and Informatics,1
International Journal of Shipping and Transport Logistics,1
International Journal of Value Chain Management,1
Journal of Humanitarian Logistics and Supply Chain Management,1
Journal of Intelligent Manufacturing,1
Journal of Manufacturing Systems,1
Journal of Manufacturing Technology Management,1
Journal of Public Procurement,1
Journal of Quality in Maintenance Engineering,1
Journal of Service Theory and Practice,1
Knowledge and Process Management,1
Operations Management Research,1
"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",1
Project Management Journal,1
Quality and Reliability Engineering International,1
Quality Progress,1
Service Science,1
Supply Chain Forum,1
TQM Journal,1
World Review of Intermodal Transportation Research,1
Asia-Pacific Journal of Operational Research,1
Central European Journal of Operations Research,1
Computational Management Science,1
Cybernetics and Systems,1
Decision Analysis,1
International Journal of General Systems,1
International Journal of Mathematics in Operational Research,1
International Journal of Operational Research,1
International Journal of Operations and Quantitative Management,1
International Transactions in Operational Research,1
Journal of Industrial and Management Optimization,1
Journal of Modelling in Management,1
Journal of Multi-Criteria Decision Analysis,1
Kybernetes,1
Mathematical Methods of Operations Research,1
Operational Research,1
OPSEARCH,1
Optimization,1
Pacific Journal of Optimization,1
Pesquisa Operacional,1
RAIRO - Operations Research,1
TOP,1
Action Research,1
Ephemera: Critical Dialogues on Organization,1
International Journal of Knowledge Management Studies,1
International Journal of Organization Theory and Behavior,1
International Journal of Organizational Analysis,1
International Journal of Project Organisation and Management,1
Journal of Organizational Ethnography,1
Leadership and Organization Development Journal,1
Learning Organization,1
Network Science,1
Organizations and Markets in Emerging Economies,1
Qualitative Research in Organizations and Management,1
Tamara: Journal for Critical Organization Inquiry,1
American Behavioral Scientist,1
American Journal of Psychology,1
Australian Journal of Psychology,1
Basic and Applied Social Psychology,1
Canadian Journal of Behavioural Science,1
Canadian Psychology,1
Current Psychology,1
European Psychologist,1
International Journal of Intercultural Relations,1
International Journal of Psychology,1
Japanese Psychological Research,1
Journal of Constructivist Psychology,1
Journal of Happiness Studies,1
Journal of Pacific Rim Psychology,1
Journal of Positive Psychology,1
Journal of Social Psychology,1
Nordic Psychology,1
Psicothema,1
Psihologija,1
Psychological Reports,1
Psychologist,1
Social Justice Research,1
South African Journal of Psychology,1
Spanish Journal of Psychology,1
"Community, Work and Family",1
European Work and Organizational Psychology in practice,1
Gedrag en Organisatie,1
Human Factors and Ergonomics In Manufacturing,1
Industrial and Organizational Psychology,1
International Journal for Educational and Vocational Guidance,1
International Journal of Occupational Safety and Ergonomics,1
International Negotiation,1
Journal of Career Development,1
Journal of Employment Counseling,1
Journal of Rehabilitation,1
Military Psychology,1
Occupational Medicine,1
Psychologie du Travail et des Organisations,1
Psychologist-Manager Journal,1
Rehabilitation Counseling Bulletin,1
Research in Occupational Stress and Well Being,1
Revue Europeenne de Psychologie Appliquee,1
Social Work in Public Health,1
South African Journal of Industrial Psychology,1
"Sport, Exercise, and Performance Psychology",1
The International Journal of Aerospace Psychology,1
"TPM - Testing, Psychometrics, Methodology in Applied Psychology",1
Work,1
Zeitschrift fur Arbeits- und Organisationspsychologie,1
Administrative Theory and Praxis,1
British Journal of Health Care Management,1
Health Services Management Research,1
International Journal of Educational Management,1
International Journal of Health Care Quality Assurance,1
International Journal of Health Governance,1
International Journal of Healthcare Technology and Management,1
International Journal of Public Sector Management,1
International Review of Public Administration,1
Journal of Health Organization and Management,1
Journal of Public Affairs,1
Journal of Public Affairs Education,1
Leadership in Health Services,1
Public Administration Quarterly,1
Teaching Public Administration,1
African Evaluation Journal,1
Built Environment Project and Asset Management,1
Corporate Social Responsibility and Environmental Management,1
International Journal of Energy Sector Management,1
International Journal of Housing Markets and Analysis,1
Journal of Corporate Real Estate,1
Journal of European Real Estate Research,1
Journal of Financial Management of Property and Construction,1
Journal of Geographical Systems,1
Letters in Spatial and Resource Sciences,1
Regional and Federal Studies,1
Advances in Hospitality and Leisure,1
Anatolia: An International Journal of Tourism and Hospitality Research,1
Asia Pacific Journal of Tourism Research,1
British Food Journal,1
"Digital Policy, Regulation and Governance",1
"Engineering, Construction and Architectural Management",1
Facilities,1
International Hospitality Review,1
"International Journal of Culture, Tourism and Hospitality Research",1
International Journal of Event and Festival Management,1
International Journal of Heritage Studies,1
International Journal of Hospitality and Tourism Administration,1
International Journal of Sport and Society,1
International Journal of Sport Finance,1
International Journal of Sport Management,1
International Journal of Sport Management and Marketing,1
International Journal of Sport Policy and Politics,1
International Journal of Sports Marketing and Sponsorship,1
Journal of China Tourism Research,1
Journal of Convention and Event Tourism,1
Journal of Destination Marketing and Management,1
Journal of Ecotourism,1
Journal of Foodservice Business Research,1
Journal of Hospitality and Tourism Education,1
Journal of Hospitality and Tourism Technology,1
Journal of Hospitality Marketing and Management,1
"Journal of Hospitality, Leisure, Sport and Tourism Education",1
Journal of Human Resources in Hospitality and Tourism,1
Journal of Media Business Studies,1
Journal of Outdoor Recreation and Tourism,1
"Journal of Policy Research in Tourism, Leisure and Events",1
Journal of Quality Assurance in Hospitality and Tourism,1
Journal of Sport and Tourism,1
Journal of the Textile Institute,1
Journal of Vacation Marketing,1
Managing Leisure: An International Journal,1
Marine Resource Economics,1
Maritime Economics and Logistics,1
Non-Profit Management & Leadership,1
Nutrition and Food Science,1
PASOS Journal of Tourism and Cultural Heritage,1
Property Management,1
Service Business,1
Sport Marketing Quarterly,1
"Sport, Business and Management: An International Journal",1
Telecommunications Policy,1
Tourism Review,1
"Tourism, Culture and Communication",1
Utilities Policy,1
Visitor Studies,1
World Leisure Journal,1
Worldwide Hospitality and Tourism Themes,1
Area,1
Asia Europe Journal,1
Environmental Economics,1
Ethnic and Racial Studies,1
Geographical Journal,1
"International Journal of Law, Crime and Justice",1
International Journal of Sociology and Social Policy,1
International Migration Review,1
Journal of Globalization and Development,1
Journal of International Studies,1
Journal of Leadership Studies,1
Journal of Studies in International Education,1
Journal of Trust Research,1
Management of Environmental Quality,1
Policy Sciences,1
Population Studies,1
Review of European Studies,1
Studies in Indian Politics,1
Transactions of the Institute of British Geographers,1
Valuation Studies,1
Foresight,1
International Journal of Strategic Decision Sciences,1
Journal of Business Models,1
Journal of Business Strategy,1
Journal of Change Management,1
Journal of Strategic Contracting and Negotiation,1
Journal of Strategy and Management,1
M@n@gement,1
Management Review Quarterly,1
Strategy and Leadership,1
